DATE	PRCP	SNOW	SNWD	TMAX	TMIN
1/1/2017	0.07	0	0	66	43
1/2/2017	0.5	0	0	73	54
1/3/2017	0	0	0	61	39
1/4/2017	0	0	0	40	32
1/5/2017	0	0	0	40	26
1/6/2017	0.01	0.1	0	27	19
1/7/2017	0	0	0	40	14
1/8/2017	0	0	0	49	20
1/9/2017	0	0	0	69	36
1/10/2017	0	0	0	79	57
1/11/2017	0	0	0	80	56
1/12/2017	0	0	0	78	46
1/13/2017	0.2	0	0	49	41
1/14/2017	0.01	0	0	44	39
1/15/2017	3.16	0	0	66	43
1/16/2017	0.01	0	0	66	48
1/17/2017	0.29	0	0	51	43
1/18/2017	0.12	0	0	54	48
1/19/2017	0	0	0	67	48
1/20/2017	0	0	0	78	47
1/21/2017	0.02	0	0	73	48
1/22/2017	0	0	0	66	48
1/23/2017	0	0	0	68	41
1/24/2017	0	0	0	80	45
1/25/2017	0	0	0	64	42
1/26/2017	0	0	0	53	33
1/27/2017	0	0	0	57	33
1/28/2017	0	0	0	58	38
1/29/2017	0	0	0	69	42
1/30/2017	0	0	0	78	41
1/31/2017	0	0	0	80	42
2/1/2017	0	0	0	80	53
2/2/2017	0	0	0	55	43
2/3/2017	0	0	0	54	41
2/4/2017	0	0	0	53	46
2/5/2017	0	0	0	78	50
2/6/2017	0	0	0	82	64
2/7/2017	0	0	0	80	59
2/8/2017	0	0	0	69	45
2/9/2017	0	0	0	61	36
2/10/2017	0	0	0	77	46
2/11/2017	0	0	0	88	63
2/12/2017	0	0	0	73	60
2/13/2017	0.32	0	0	66	47
2/14/2017	1.19	0	0	49	43
2/15/2017	0	0	0	61	42
2/16/2017	0	0	0	68	37
2/17/2017	0	0	0	71	46
2/18/2017	0	0	0	82	59
2/19/2017	0	0	0	77	58
2/20/2017	0.51	0	0	71	56
2/21/2017	0	0	0	77	51
2/22/2017	0	0	0	86	47
2/23/2017	0	0	0	88	55
2/24/2017	0	0	0	71	47
2/25/2017	0	0	0	55	35
2/26/2017	0.31	0	0	63	40
2/27/2017	0	0	0	80	59
2/28/2017	0	0	0	83	69
3/1/2017	0	0	0	73	47
3/2/2017	0	0	0	67	40
3/3/2017	0	0	0	72	42
3/4/2017	0.04	0	0	62	50
3/5/2017	0.14	0	0	66	53
3/6/2017	0	0	0	84	66
3/7/2017	0	0	0	73	52
3/8/2017	0	0	0	78	45
3/9/2017	0	0	0	81	61
3/10/2017	0	0	0	72	60
3/11/2017	0	0	0	76	50
3/12/2017	0	0	0	55	43
3/13/2017	0.01	0	0	66	44
3/14/2017	0	0	0	66	37
3/15/2017	0	0	0	67	45
3/16/2017	0	0	0	75	54
3/17/2017	0	0	0	80	67
3/18/2017	0	0	0	85	65
3/19/2017	0	0	0	86	63
3/20/2017	0	0	0	92	67
3/21/2017	0	0	0	87	63
3/22/2017	0	0	0	86	65
3/23/2017	0	0	0	87	66
3/24/2017	0.32	0	0	80	59
3/25/2017	0	0	0	74	55
3/26/2017	0	0	0	86	51
3/27/2017	0	0	0	73	59
3/28/2017	0	0	0	82	59
3/29/2017	0.55	0	0	83	58
3/30/2017	0	0	0	80	53
3/31/2017	0	0	0	86	54
4/1/2017	0	0	0	77	59
4/2/2017	2.14	0	0	72	60
4/3/2017	0	0	0	80	51
4/4/2017	0	0	0	86	58
4/5/2017	0	0	0	73	49
4/6/2017	0	0	0	78	47
4/7/2017	0	0	0	80	51
4/8/2017	0	0	0	83	60
4/9/2017	0	0	0	84	67
4/10/2017	0.53	0	0	82	66
4/11/2017	0.2	0	0	77	61
4/12/2017	0	0	0	77	62
4/13/2017	0	0	0	83	62
4/14/2017	0	0	0	82	68
4/15/2017	0	0	0	81	66
4/16/2017	0	0	0	81	67
4/17/2017	0.45	0	0	76	64
4/18/2017	0	0	0	82	62
4/19/2017	0	0	0	85	65
4/20/2017	0	0	0	85	70
4/21/2017	0	0	0	85	62
4/22/2017	0	0	0	64	54
4/23/2017	0	0	0	75	49
4/24/2017	0	0	0	78	49
4/25/2017	0	0	0	86	63
4/26/2017	0.05	0	0	76	51
4/27/2017	0	0	0	77	46
4/28/2017	0	0	0	88	66
4/29/2017	0	0	0	91	57
4/30/2017	0.01	0	0	71	50
5/1/2017	0	0	0	85	49
5/2/2017	0	0	0	88	58
5/3/2017	0.02	0	0	82	59
5/4/2017	0	0	0	77	55
5/5/2017	0	0	0	81	54
5/6/2017	0	0	0	88	54
5/7/2017	0	0	0	88	59
5/8/2017	0	0	0	85	64
5/9/2017	0	0	0	82	67
5/10/2017	0	0	0	82	72
5/11/2017	0.02	0	0	89	69
5/12/2017	0	0	0	82	62
5/13/2017	0	0	0	84	58
5/14/2017	0	0	0	91	60
5/15/2017	0	0	0	90	69
5/16/2017	0	0	0	85	70
5/17/2017	0.12	0	0	91	69
5/18/2017	0	0	0	94	77
5/19/2017	0	0	0	89	72
5/20/2017	0.06	0	0	82	67
5/21/2017	0.08	0	0	82	63
5/22/2017	0.18	0	0	82	62
5/23/2017	0.05	0	0	78	62
5/24/2017	0	0	0	83	58
5/25/2017	0	0	0	93	60
5/26/2017	0	0	0	96	75
5/27/2017	0	0	0	92	80
5/28/2017	0.17	0	0	83	72
5/29/2017	0	0	0	89	67
5/30/2017	0	0	0	92	66
5/31/2017	0	0	0	92	70
6/1/2017	0.15	0	0	87	72
6/2/2017	1.71	0	0	87	69
6/3/2017	1.07	0	0	82	69
6/4/2017	0.09	0	0	88	70
6/5/2017	0	0	0	87	69
6/6/2017	0	0	0	95	71
6/7/2017	0	0	0	91	73
6/8/2017	0	0	0	89	70
6/9/2017	0.74	0	0	81	66
6/10/2017	0	0	0	90	72
6/11/2017	0	0	0	90	74
6/12/2017	0	0	0	94	77
6/13/2017	0	0	0	94	78
6/14/2017	0	0	0	94	79
6/15/2017	0	0	0	95	78
6/16/2017	0	0	0	96	79
6/17/2017	0	0	0	94	79
6/18/2017	0	0	0	95	80
6/19/2017	0.19	0	0	93	74
6/20/2017	0	0	0	94	77
6/21/2017	0	0	0	94	74
6/22/2017	0	0	0	93	75
6/23/2017	0.14	0	0	100	77
6/24/2017	3.84	0	0	84	70
6/25/2017	0	0	0	88	72
6/26/2017	0	0	0	88	73
6/27/2017	0.51	0	0	92	74
6/28/2017	0	0	0	91	73
6/29/2017	0	0	0	93	75
6/30/2017	0	0	0	96	76
7/1/2017	1.2	0	0	84	70
7/2/2017	0	0	0	96	74
7/3/2017	0	0	0	94	79
7/4/2017	0.33	0	0	93	70
7/5/2017	0.07	0	0	94	76
7/6/2017	0.99	0	0	95	73
7/7/2017	0	0	0	96	78
7/8/2017	0.15	0	0	97	77
7/9/2017	0	0	0	93	75
7/10/2017	0	0	0	95	73
7/11/2017	0	0	0	96	78
7/12/2017	0	0	0	95	79
7/13/2017	0	0	0	96	79
7/14/2017	0	0	0	100	79
7/15/2017	0.04	0	0	94	79
7/16/2017	0	0	0	97	77
7/17/2017	0	0	0	95	78
7/18/2017	0	0	0	96	79
7/19/2017	0	0	0	98	80
7/20/2017	0	0	0	100	80
7/21/2017	0	0	0	100	81
7/22/2017	0	0	0	101	80
7/23/2017	0.87	0	0	101	73
7/24/2017	0.47	0	0	92	73
7/25/2017	0	0	0	96	78
7/26/2017	0	0	0	98	80
7/27/2017	0	0	0	99	80
7/28/2017	0	0	0	102	83
7/29/2017	0	0	0	99	79
7/30/2017	0	0	0	94	79
7/31/2017	0	0	0	93	73
8/1/2017	0.04	0	0	91	75
8/2/2017	0.43	0	0	81	73
8/3/2017	0	0	0	94	75
8/4/2017	0	0	0	96	75
8/5/2017	0	0	0	97	76
8/6/2017	0.04	0	0	99	78
8/7/2017	0	0	0	94	75
8/8/2017	0.01	0	0	91	75
8/9/2017	0	0	0	94	74
8/10/2017	0	0	0	100	75
8/11/2017	0	0	0	100	81
8/12/2017	1.78	0	0	98	76
8/13/2017	0.29	0	0	92	77
8/14/2017	0.62	0	0	93	74
8/15/2017	0	0	0	95	80
8/16/2017	0	0	0	96	81
8/17/2017	0.17	0	0	93	73
8/18/2017	0	0	0	93	75
8/19/2017	0	0	0	100	78
8/20/2017	0	0	0	98	81
8/21/2017	0	0	0	95	79
8/22/2017	0	0	0	99	79
8/23/2017	0	0	0	91	76
8/24/2017	0.34	0	0	90	76
8/25/2017	0.01	0	0	88	77
8/26/2017	0.05	0	0	83	75
8/27/2017	0.46	0	0	84	74
8/28/2017	0	0	0	88	73
8/29/2017	0	0	0	90	71
8/30/2017	0	0	0	90	71
8/31/2017	0	0	0	90	71
9/1/2017	0	0	0	92	70
9/2/2017	0	0	0	96	72
9/3/2017	0	0	0	96	73
9/4/2017	0	0	0	95	74
9/5/2017	0	0	0	91	73
9/6/2017	0	0	0	85	65
9/7/2017	0	0	0	86	61
9/8/2017	0	0	0	85	62
9/9/2017	0	0	0	87	65
9/10/2017	0	0	0	87	64
9/11/2017	0	0	0	86	66
9/12/2017	0	0	0	85	60
9/13/2017	0	0	0	91	62
9/14/2017	0	0	0	98	65
9/15/2017	0	0	0	95	74
9/16/2017	0	0	0	95	74
9/17/2017	0	0	0	96	74
9/18/2017	0	0	0	95	73
9/19/2017	0	0	0	98	76
9/20/2017	0	0	0	99	78
9/21/2017	0	0	0	97	78
9/22/2017	0	0	0	95	75
9/23/2017	0	0	0	96	73
9/24/2017	0	0	0	94	74
9/25/2017	0	0	0	93	72
9/26/2017	0	0	0	91	77
9/27/2017	0.17	0	0	92	72
9/28/2017	0.16	0	0	79	69
9/29/2017	0.14	0	0	72	67
9/30/2017	0	0	0	86	65
10/1/2017	0	0	0	89	66
10/2/2017	0	0	0	93	68
10/3/2017	0.33	0	0	90	74
10/4/2017	0.01	0	0	88	75
10/5/2017	0	0	0	89	69
10/6/2017	0	0	0	90	70
10/7/2017	0	0	0	89	65
10/8/2017	0	0	0	91	58
10/9/2017	0	0	0	96	66
